"","field.choices","type","description"
"1","awards_transaction_awarding_agency","Nested Object","An array of transactions for which this agency is the awarding agency"
"2","awards_transaction_funding_agency","Nested Object","An array of transactions for which this agency is the funding agency"
"3","id","Integer","Internal primary key. Guaranteed to be unique."
"4","create_date","Datetime",""
"5","update_date","Datetime",""
"6","toptier_agency","Nested Object",""
"7","subtier_agency","Nested Object",""
"8","office_agency","Nested Object",""
